Minutes played,Field Goals Made,Field Goals Attempted,Field Goals 3 Points Made,Field Goal 3 Points Attempt,Free Throws Made,Free Throws Attempt,Offensive Rebounds,Defensive Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Double-double,Triple-double,Draftkings next game score
32,6,12,3,7,4,5,0,5,6,2,0,1,3,19,0,0,68.25
30,9,17,3,6,7,9,2,5,10,1,0,3,2,28,1,0,65.0
34,3,13,0,2,6,6,1,5,8,2,0,5,3,12,0,0,77.25
37,6,19,2,8,3,4,1,4,9,2,0,2,4,17,0,0,113.75
37,13,27,5,12,1,1,3,4,11,2,2,2,4,32,1,0,108.5
35,3,11,0,3,1,3,0,6,8,4,0,4,1,7,0,0,51.75
38,4,12,0,6,1,2,1,4,13,1,0,5,2,9,0,0,100.0
36,4,11,0,4,2,2,0,2,5,6,0,5,3,10,0,0,56.5
40,4,13,2,3,3,4,0,4,4,3,1,1,4,13,0,0,78.75
35,8,13,5,8,5,7,0,5,5,3,0,2,3,26,0,0,51.25
32,7,12,3,7,4,5,0,5,4,2,0,3,0,21,0,0,83.25
28,4,10,2,4,0,0,0,5,7,3,2,2,1,10,0,0,55.0
33,7,9,6,8,4,5,0,4,9,1,0,8,4,24,0,0,42.5
35,8,16,1,6,3,4,0,2,7,1,0,3,3,20,0,0,25.0
37,7,16,2,6,4,4,1,3,9,0,0,2,5,20,0,0,52.75
28,5,13,2,7,2,2,1,4,10,1,0,0,1,14,1,0,96.25
31,4,11,2,7,2,2,1,2,13,2,1,4,1,12,1,0,69.75
36,1,8,1,7,2,2,0,3,7,3,0,5,3,5,0,0,10.75
25,5,11,0,2,2,3,0,1,5,0,0,5,3,12,0,0,50.0
38,10,20,3,7,0,2,0,2,8,1,0,2,2,23,0,0,119.25
34,2,12,0,4,7,8,3,8,10,3,1,1,3,11,0,1,96.75
37,3,10,3,4,5,6,1,0,9,3,0,2,3,14,0,0,72.75
36,3,10,2,7,2,2,0,1,10,2,0,2,1,10,1,0,121.75
37,3,10,1,4,4,4,1,2,9,4,0,3,5,11,0,0,74.5
28,7,11,5,9,2,2,0,2,8,2,1,3,2,21,0,0,4.25
12,1,3,0,2,2,2,0,1,4,0,0,2,2,4,0,0,71.75
25,4,8,2,5,2,2,0,5,6,3,0,3,1,12,0,0,68.5
26,4,9,1,5,1,2,1,3,9,2,0,2,4,10,0,0,24.75
29,8,13,3,7,1,1,0,3,6,0,0,1,0,20,0,0,82.25
33,5,10,2,4,6,7,0,5,4,5,0,6,0,18,0,0,86.0
30,4,13,1,8,6,6,0,2,11,2,1,3,2,15,1,0,86.0
35,5,12,2,5,6,7,1,9,9,2,0,2,4,18,1,0,89.5
29,5,12,5,10,2,2,1,1,11,2,0,0,4,17,1,0,47.25
35,4,13,2,8,6,7,0,5,8,1,0,0,3,16,0,0,67.0
34,9,15,3,5,2,2,1,9,9,1,1,1,6,23,1,0,132.25
36,7,18,4,9,5,5,1,4,17,2,0,5,2,23,1,0,52.5
35,5,10,3,8,7,7,0,6,8,1,0,1,5,20,0,0,81.5
32,7,13,2,6,1,2,0,4,10,2,0,6,2,17,1,0,32.5
34,4,12,1,6,5,5,2,4,4,1,0,3,3,14,0,0,133.0
34,4,10,3,8,4,5,1,5,12,3,1,5,4,15,1,0,73.5
31,1,10,0,3,3,3,0,6,10,2,1,2,3,5,0,0,54.25
28,2,8,0,3,0,0,0,3,8,2,0,3,2,4,0,0,70.25
33,2,11,2,8,3,4,0,3,9,2,2,3,2,9,0,0,25.5
29,3,8,2,4,2,2,2,8,4,0,1,3,1,10,1,0,31.0
33,7,12,2,6,8,8,2,4,3,0,0,3,4,24,0,0,67.75
29,8,12,6,7,3,3,0,7,10,1,0,1,2,25,1,0,115.25
29,4,10,2,6,3,4,0,1,11,3,0,1,1,13,1,0,47.75
41,6,17,2,9,4,4,2,5,7,1,0,2,5,18,0,0,37.75
34,7,15,0,3,4,4,0,3,5,1,1,2,2,18,0,0,209.25
27,4,12,1,7,1,1,1,2,13,5,0,3,2,10,1,0,31.25
32,7,18,4,9,1,1,3,6,4,0,0,2,1,19,0,0,36.5
30,3,10,0,3,3,3,0,4,8,1,0,3,2,9,0,0,86.0
30,8,16,3,8,3,4,0,2,5,4,0,0,2,22,0,0,86.75
28,3,12,1,7,0,1,0,5,12,2,1,2,2,7,0,0,79.0
27,10,19,5,8,4,4,1,3,7,2,1,3,3,29,0,0,47.25
24,4,9,3,6,0,0,0,3,10,1,0,1,1,11,1,0,144.75
26,2,8,2,5,0,0,0,3,9,5,0,2,1,6,0,0,54.0
34,9,15,5,9,1,1,1,7,6,1,0,1,2,24,0,0,42.5
30,7,15,4,7,4,4,1,7,3,1,0,1,4,22,0,0,6.0
30,3,9,0,2,0,3,0,2,4,0,0,5,1,6,0,0,19.5
19,2,5,2,2,4,4,0,2,2,1,0,0,1,10,0,0,42.5
34,6,14,3,7,0,2,0,4,4,2,0,6,4,15,0,0,55.75
31,5,10,1,4,10,11,0,5,5,2,0,4,1,21,0,0,97.25
29,5,9,3,5,2,2,1,0,9,3,0,3,2,15,0,0,77.5
32,6,15,2,6,6,6,0,2,6,3,0,0,3,20,0,0,37.0
31,7,14,2,4,3,4,0,2,5,1,0,1,1,19,0,0,101.75
31,5,11,0,3,6,6,0,5,9,3,0,3,2,16,0,0,38.25
32,6,11,3,5,2,2,0,5,5,1,0,3,1,17,0,0,82.5
25,2,7,0,2,3,4,0,4,8,3,0,3,2,7,0,0,37.5
38,7,13,1,3,12,12,1,7,5,0,0,0,3,27,0,0,75.5
33,5,10,2,4,10,11,0,4,4,4,0,1,3,22,0,0,129.75
30,1,7,0,2,2,2,0,5,10,4,0,1,5,4,0,0,44.5
32,5,11,2,6,6,7,1,3,7,1,0,1,4,18,0,0,44.25
35,7,15,4,8,2,2,1,6,5,1,0,3,2,20,0,0,18.5
25,6,12,0,4,4,4,0,2,5,0,0,0,0,16,0,0,44.5
29,3,9,1,6,0,0,0,6,5,2,0,1,4,7,0,0,21.0
33,6,9,2,3,2,2,0,4,8,0,0,2,2,16,0,0,7.75
33,2,9,0,2,0,0,0,3,10,0,0,0,2,4,0,0,39.5
37,11,20,1,3,7,7,1,3,7,0,2,0,4,30,0,0,44.0
31,7,17,2,6,4,5,0,4,2,3,0,0,2,20,0,0,83.5
30,7,15,0,4,2,2,0,4,7,3,0,1,2,16,0,0,23.25
35,3,9,2,5,0,0,0,7,12,0,3,1,2,8,0,0,140.0
34,5,8,0,2,5,6,0,4,10,4,0,3,2,15,1,0,92.5
36,9,12,6,8,6,6,1,9,8,2,0,5,3,30,1,0,53.5
31,6,10,1,2,5,5,0,4,5,2,0,0,2,18,0,0,37.0
28,5,8,0,1,5,6,0,2,7,1,0,3,3,15,0,0,21.25
36,5,13,2,5,0,0,2,5,6,0,0,1,3,12,0,0,130.5
34,9,15,2,4,3,3,0,6,11,3,0,3,3,23,1,0,42.25
35,6,20,0,6,4,4,1,6,6,1,0,1,2,16,0,0,39.25
34,9,18,3,6,4,4,0,11,8,0,0,5,1,25,1,0,46.5
36,7,15,1,2,2,2,1,7,7,1,0,4,2,17,0,0,55.5
32,8,14,0,2,0,0,0,8,5,2,0,1,2,16,0,0,10.0
30,3,9,0,4,1,2,0,4,10,0,0,4,2,7,0,0,46.0
32,6,16,4,8,2,2,1,7,6,1,0,4,5,18,0,0,54.0
38,9,15,4,8,6,6,0,6,3,2,0,3,2,28,0,0,86.5
28,7,14,3,7,1,2,0,6,5,4,0,1,1,18,0,0,46.25
32,7,13,1,5,1,2,0,5,8,1,0,1,3,16,0,0,23.0
30,5,15,0,4,0,0,1,3,3,1,0,2,1,10,0,0,154.25
34,5,9,1,3,5,5,1,4,11,4,0,4,3,16,1,0,17.75
34,6,10,2,6,0,0,0,3,6,0,0,2,3,14,0,0,36.0
28,11,15,3,5,5,5,0,4,7,0,0,1,1,30,0,0,59.5
33,9,18,4,8,6,7,0,8,3,2,1,1,3,28,0,0,75.25
29,5,12,0,3,9,11,0,3,6,3,0,3,2,19,0,0,39.5
28,7,13,2,5,2,2,2,4,5,1,0,4,2,18,0,0,90.0
32,10,18,0,2,5,5,0,4,10,2,0,3,0,25,1,0,46.75
26,3,12,0,4,3,4,0,7,10,1,0,2,4,9,0,0,119.0
34,7,16,2,6,4,4,1,5,10,3,0,2,1,20,1,0,36.75
30,4,9,1,3,3,3,0,3,7,1,0,1,4,12,0,0,30.5
34,7,11,1,4,7,8,2,4,7,0,1,3,2,22,0,0,57.25
33,8,15,1,5,5,6,0,5,5,2,0,3,1,22,0,0,58.0
34,12,18,5,9,2,2,0,2,7,1,1,2,3,31,0,0,98.0
34,5,12,2,3,2,2,0,8,12,2,0,1,2,14,1,0,32.5
33,11,17,4,6,3,4,1,3,2,0,0,7,3,29,0,0,54.75
28,5,13,0,3,2,2,0,9,10,1,0,0,0,12,1,0,49.25
35,7,15,0,3,5,6,0,3,9,1,0,1,1,19,0,0,63.5
32,6,11,1,2,4,5,0,4,7,2,0,2,3,17,0,0,37.25
27,7,17,1,6,3,3,0,3,5,1,0,0,0,18,0,0,37.0
31,5,11,2,4,2,2,0,2,7,1,0,3,1,14,0,0,72.5
34,7,10,1,3,1,1,0,4,6,3,0,6,3,16,0,0,135.75
30,8,13,4,6,1,1,0,3,12,3,0,1,1,21,1,0,56.5
37,9,19,0,3,10,10,1,5,7,1,1,4,2,28,0,0,67.75
27,7,11,1,1,3,3,1,6,7,2,0,3,1,18,0,0,24.0
39,8,17,2,6,5,6,0,2,8,0,0,5,6,23,0,0,45.75
31,8,12,1,3,4,4,0,7,6,1,0,5,3,21,0,0,83.25
28,6,12,2,3,3,3,2,3,5,4,0,2,2,17,0,0,106.0
33,4,9,3,4,2,2,0,6,9,3,2,2,2,13,0,0,60.75
24,3,9,1,5,7,7,0,5,7,2,0,4,3,14,0,0,31.25
24,4,12,0,3,4,4,2,5,4,1,0,3,2,12,0,0,41.5
28,3,9,0,2,2,2,1,3,5,2,0,3,3,8,0,0,104.75
33,8,19,2,6,4,5,1,4,12,2,1,0,4,22,1,0,12.0
27,4,10,0,2,0,0,1,3,12,0,0,2,4,8,0,0,11.0
23,2,4,1,2,4,4,1,1,9,0,0,2,1,9,0,0,15.5
30,4,13,2,4,1,1,1,3,8,0,0,3,2,11,0,0,28.75
32,6,12,1,2,8,8,1,4,6,0,1,2,2,21,0,0,45.75
36,6,12,1,3,2,2,0,9,6,1,1,2,3,15,0,0,65.0
32,4,12,0,0,4,4,1,3,8,2,0,0,2,12,0,0,19.25
38,5,11,1,4,0,0,0,7,9,0,0,2,5,11,0,0,18.5
33,6,10,0,2,3,3,0,2,10,0,0,1,4,15,1,0,54.25
36,5,10,0,1,4,4,0,5,11,1,0,1,3,14,1,0,59.75
31,7,13,2,5,0,0,0,3,7,2,0,6,4,16,0,0,30.5
31,4,9,1,3,4,4,0,4,4,1,1,4,1,13,0,0,61.0
39,5,15,1,5,0,0,0,4,15,1,0,4,5,11,1,0,111.25
42,9,20,1,6,2,2,1,8,13,2,0,2,2,21,1,0,52.75
35,12,21,3,8,5,5,1,4,5,1,0,4,4,32,0,0,39.25
27,6,13,1,2,0,0,1,2,4,2,0,4,1,13,0,0,177.25
35,8,18,1,3,12,13,1,2,12,4,0,3,3,29,1,0,98.75
38,14,20,4,7,2,2,2,7,9,2,0,5,3,34,0,0,22.0
25,4,7,1,2,1,1,0,0,4,1,0,1,2,10,0,0,56.25
30,7,14,3,7,3,3,0,7,9,1,0,2,3,20,0,0,26.25
33,6,14,0,5,3,3,0,3,2,1,1,1,1,15,0,0,77.25
32,10,20,4,7,4,4,0,3,7,2,1,1,2,28,0,0,60.5
33,8,13,2,4,0,0,1,7,10,1,1,4,3,18,1,0,73.5
28,5,9,2,3,0,0,0,6,9,2,0,2,4,12,0,0,57.0
35,12,20,4,8,1,1,1,3,7,1,0,0,0,29,0,0,138.0
31,6,11,3,5,0,0,0,4,19,2,1,2,1,15,1,0,20.0
22,6,9,4,5,0,0,0,2,6,0,0,1,2,16,0,0,31.75
25,1,9,0,1,0,0,0,3,9,1,0,2,0,2,0,0,63.5
38,7,14,3,7,3,4,0,8,10,1,1,3,5,20,1,0,156.5
35,5,11,0,4,4,4,1,5,15,3,0,3,2,14,1,0,63.5
32,5,8,1,2,0,0,0,6,15,1,0,4,1,11,1,0,16.25
33,1,4,1,3,5,6,0,5,10,0,1,1,1,8,0,0,14.0
21,3,6,2,3,2,2,0,4,3,0,0,4,1,10,0,0,25.25
32,7,15,2,4,3,3,0,5,7,0,0,2,4,19,0,0,132.5
34,2,10,1,4,3,4,0,4,10,4,0,2,5,8,0,0,103.75
28,9,11,0,0,0,0,0,3,7,4,0,4,1,18,0,0,85.25
31,7,14,1,4,2,2,0,7,5,4,0,2,1,17,0,0,20.25
34,8,16,1,2,3,3,0,1,9,0,0,3,1,20,0,0,144.5
32,3,11,0,3,5,6,1,9,13,3,1,2,2,11,0,1,38.75
27,4,7,0,2,0,0,0,3,9,1,0,0,2,8,0,0,51.5
32,8,15,1,3,6,6,0,6,7,1,0,1,4,23,0,0,74.0
36,8,16,1,5,2,2,1,5,8,2,0,2,3,19,0,0,23.0
38,5,16,1,5,5,6,0,2,1,2,0,4,2,16,0,0,62.25
31,5,10,0,2,2,2,0,3,8,2,0,3,1,12,0,0,25.0
32,7,13,0,0,5,7,0,4,14,0,0,1,3,19,1,0,132.75
22,8,8,1,1,0,0,1,4,12,3,0,1,2,17,1,0,159.25
35,6,9,3,5,4,5,0,5,11,4,0,2,2,19,1,0,60.0
43,12,24,3,7,2,2,0,4,9,1,0,5,1,29,0,0,29.75
32,4,11,0,3,5,5,1,6,3,1,0,2,4,13,0,0,50.75
25,6,11,0,2,1,1,1,4,10,1,0,0,1,13,1,0,75.0
27,2,8,2,3,3,3,0,4,10,2,0,0,0,9,0,0,88.5
26,2,7,1,3,0,0,0,2,9,3,0,1,4,5,0,0,117.75
30,6,12,1,4,0,0,1,2,11,3,0,0,1,13,1,0,9.75
22,3,10,0,1,0,0,1,2,6,0,0,0,0,6,0,0,71.25
38,10,20,2,4,0,0,0,7,13,1,0,2,1,22,1,0,36.25
34,10,17,5,8,3,4,1,2,8,0,1,0,1,28,0,0,79.5
38,8,16,3,7,3,3,0,8,8,2,0,4,4,22,0,0,17.0
33,5,11,2,5,2,2,0,4,8,0,0,6,5,14,0,0,30.25
34,8,12,2,3,2,2,0,5,6,0,2,2,3,20,0,0,123.75
32,10,15,4,8,4,4,0,3,10,3,0,3,2,28,1,0,42.75
21,5,9,0,1,2,2,0,3,9,1,1,4,1,12,0,0,19.75
28,7,13,2,5,2,2,0,1,11,0,0,4,1,18,1,0,229.0
36,8,16,2,3,5,5,0,6,16,4,2,0,4,23,1,0,29.0
24,3,11,1,2,2,2,1,1,6,1,0,2,0,9,0,0,27.0
30,6,11,2,3,3,4,0,6,11,0,0,0,3,17,1,0,139.5
34,6,13,1,2,0,0,0,4,10,4,1,5,5,13,1,0,60.75
33,9,17,2,7,4,4,0,3,10,1,1,3,4,24,1,0,26.5
32,11,14,2,2,2,2,0,0,7,0,0,1,3,26,0,0,53.25
24,4,10,2,6,4,5,0,1,5,0,0,1,4,14,0,0,21.25
26,4,12,2,4,7,7,0,1,1,1,0,2,1,17,0,0,25.25
25,3,16,0,6,6,6,1,4,2,1,1,2,0,12,0,0,18.75
26,8,15,0,3,1,2,1,2,1,0,0,4,0,17,0,0,24.25
26,7,9,3,4,6,6,0,1,3,0,0,3,0,23,0,0,35.5
16,7,13,2,4,1,1,0,0,6,1,0,1,1,17,0,0,30.25
25,4,11,1,2,8,8,0,5,3,1,0,5,1,17,0,0,32.25
24,9,19,2,5,6,7,1,0,2,1,0,4,1,26,0,0,42.25
21,7,13,5,5,9,10,0,3,3,1,0,2,1,28,0,0,22.0
27,7,17,1,4,5,5,0,0,6,0,1,1,1,20,0,0,22.75
36,8,22,0,4,4,4,2,1,7,0,0,2,1,20,0,0,49.25
33,5,15,1,3,1,1,0,5,10,1,0,2,0,12,1,0,63.0
32,5,18,1,5,14,14,0,2,6,2,0,2,1,25,0,0,26.25
28,9,20,1,3,4,4,1,2,2,0,0,2,1,23,0,0,31.25
28,4,15,0,3,8,9,0,1,5,1,0,2,2,16,0,0,24.75
30,4,15,0,3,8,9,1,6,11,0,0,3,0,16,1,0,27.0
23,7,15,1,4,2,2,0,2,3,1,0,4,1,17,0,0,36.0
30,5,14,1,4,4,4,0,2,6,1,0,0,1,15,0,0,7.75
17,2,13,0,2,0,0,2,1,1,0,0,0,1,4,0,0,42.0
22,6,14,2,3,6,7,2,2,3,2,0,4,1,20,0,0,12.0
