,player_name,salary,team,position,draftking_score
0,Nikola Jokic,12000,DEN,"['C', 'UTIL']",45.62569808959961
1,Giannis Antetokounmpo,11800,MIL,"['SF', 'PF', 'F', 'UTIL']",45.51837158203125
2,Kevin Durant,11600,BKN,"['SF', 'PF', 'F', 'UTIL']",42.329227447509766
3,Kyrie Irving,10900,BKN,"['PG', 'SG', 'G', 'UTIL']",41.134864807128906
4,Darius Garland,10200,CLE,"['PG', 'G', 'UTIL']",36.554969787597656
5,Ja Morant,10100,MEM,"['PG', 'G', 'UTIL']",41.22507095336914
8,Tyrese Haliburton,9800,IND,"['PG', 'SG', 'G', 'UTIL']",36.36933898925781
10,Pascal Siakam,9200,TOR,"['PF', 'C', 'F', 'UTIL']",42.10630798339844
11,DeMar DeRozan,8900,CHI,"['PF', 'F', 'UTIL']",41.67888259887695
12,Jrue Holiday,8800,MIL,"['PG', 'G', 'UTIL']",36.34653091430664
15,Fred VanVleet,8700,TOR,"['PG', 'SG', 'G', 'UTIL']",35.52888870239258
17,Zach LaVine,8500,CHI,"['SG', 'G', 'UTIL']",33.19840621948242
19,Christian Wood,8500,HOU,"['C', 'UTIL']",30.42813491821289
20,Nikola Vucevic,8400,CHI,"['C', 'UTIL']",30.96478271484375
21,Jimmy Butler,8400,MIA,"['SF', 'PF', 'F', 'UTIL']",40.41181182861328
22,Bam Adebayo,8300,MIA,"['C', 'UTIL']",33.39250564575195
23,Evan Mobley,8100,CLE,"['PF', 'C', 'F', 'UTIL']",34.355560302734375
28,Buddy Hield,7900,IND,"['SG', 'SF', 'F', 'G', 'UTIL']",28.276628494262695
30,Desmond Bane,7800,MEM,"['SG', 'G', 'UTIL']",25.634634017944336
32,Jarrett Allen,7600,CLE,"['C', 'UTIL']",33.204959869384766
33,Malcolm Brogdon,7500,IND,"['PG', 'G', 'UTIL']",31.420671463012695
34,Jaren Jackson Jr.,7400,MEM,"['PF', 'C', 'F', 'UTIL']",26.93043327331543
35,Bobby Portis,7400,MIL,"['PF', 'C', 'F', 'UTIL']",23.41360855102539
36,Tyler Herro,7300,MIA,"['PG', 'SG', 'G', 'UTIL']",34.11437225341797
40,Kyle Lowry,6800,MIA,"['PG', 'G', 'UTIL']",28.133987426757812
41,Steven Adams,6600,MEM,"['C', 'UTIL']",21.933298110961914
42,Drew Eubanks,6600,POR,"['C', 'UTIL']",25.039588928222656
43,Kevin Love,6500,CLE,"['PF', 'C', 'F', 'UTIL']",21.978565216064453
45,Lauri Markkanen,6400,CLE,"['SF', 'PF', 'F', 'UTIL']",23.625320434570312
46,Bruce Brown,6400,BKN,"['SF', 'F', 'UTIL']",28.26919937133789
47,Gary Trent Jr.,6300,TOR,"['SG', 'SF', 'F', 'G', 'UTIL']",25.82757568359375
48,Kevin Porter Jr.,6200,HOU,"['PG', 'G', 'UTIL']",40.30601501464844
51,Davion Mitchell,6000,SAC,"['PG', 'SG', 'G', 'UTIL']",37.69477844238281
52,Harrison Barnes,6000,SAC,"['SF', 'PF', 'F', 'UTIL']",23.816816329956055
54,Victor Oladipo,5900,MIA,"['PG', 'SG', 'G', 'UTIL']",23.310630798339844
55,Seth Curry,5900,BKN,"['SG', 'SF', 'F', 'G', 'UTIL']",22.11343002319336
57,Aleksej Pokusevski,5800,OKC,"['SF', 'PF', 'F', 'UTIL']",31.346942901611328
59,Andre Drummond,5800,BKN,"['C', 'UTIL']",24.77360725402832
60,Trey Lyles,5800,SAC,"['PF', 'C', 'F', 'UTIL']",23.139888763427734
61,Isaiah Jackson,5800,IND,"['PF', 'C', 'F', 'UTIL']",22.807830810546875
62,Jalen Green,5800,HOU,"['PG', 'SG', 'G', 'UTIL']",30.845598220825195
64,Mo Bamba,5700,ORL,"['C', 'UTIL']",21.82624053955078
65,Malachi Flynn,5700,TOR,"['PG', 'G', 'UTIL']",15.150651931762695
66,Oshae Brissett,5700,IND,"['SF', 'PF', 'F', 'UTIL']",23.009992599487305
67,Caris LeVert,5600,CLE,"['PG', 'SG', 'G', 'UTIL']",25.05052947998047
71,OG Anunoby,5500,TOR,"['SG', 'SF', 'F', 'G', 'UTIL']",24.048683166503906
72,Alperen Sengun,5500,HOU,"['PF', 'C', 'F', 'UTIL']",22.46156883239746
73,Aaron Gordon,5400,DEN,"['SF', 'PF', 'F', 'UTIL']",26.5347843170166
74,Donte DiVincenzo,5400,SAC,"['SG', 'SF', 'F', 'G', 'UTIL']",23.277822494506836
75,Myles Turner,5400,IND,"['C', 'UTIL']",25.361692428588867
76,Will Barton,5300,DEN,"['SG', 'G', 'UTIL']",25.33603286743164
77,De'Anthony Melton,5300,MEM,"['PG', 'SG', 'G', 'UTIL']",22.229782104492188
78,Alex Caruso,5200,CHI,"['PG', 'SG', 'G', 'UTIL']",20.870893478393555
81,Chris Boucher,5200,TOR,"['PF', 'F', 'UTIL']",22.106582641601562
82,Coby White,5100,CHI,"['PG', 'SG', 'G', 'UTIL']",21.393186569213867
83,Tyus Jones,5100,MEM,"['PG', 'G', 'UTIL']",25.997596740722656
84,Goran Dragic,5100,BKN,"['PG', 'G', 'UTIL']",23.111963272094727
86,Isaiah Roby,5000,OKC,"['PF', 'C', 'F', 'UTIL']",24.251054763793945
87,Chuma Okeke,4800,ORL,"['SF', 'PF', 'F', 'UTIL']",18.77322006225586
88,Precious Achiuwa,4800,TOR,"['C', 'UTIL']",21.462074279785156
89,Brook Lopez,4700,MIL,"['C', 'UTIL']",20.90968894958496
90,Kyle Anderson,4700,MEM,"['SF', 'PF', 'F', 'UTIL']",20.211627960205078
92,Dennis Schroder,4700,HOU,"['PG', 'SG', 'G', 'UTIL']",25.237897872924805
