playerName,salary,team,position,draftkingScore
Nikola Jokic,12000,DEN,"['C', 'UTIL']",45.62569808959960
Kevin Durant,11600,BKN,"['SF', 'PF', 'F', 'UTIL']",42.329227447509800
Kyrie Irving,10900,BKN,"['PG', 'SG', 'G', 'UTIL']",41.134864807128900
Darius Garland,10200,CLE,"['PG', 'G', 'UTIL']",36.55496597290040
Tyrese Haliburton,9800,IND,"['PG', 'SG', 'G', 'UTIL']",36.36933898925780
Pascal Siakam,9200,TOR,"['PF', 'C', 'F', 'UTIL']",42.10630798339840
DeMar DeRozan,8900,CHI,"['PF', 'F', 'UTIL']",41.67887878417970
Jrue Holiday,8800,MIL,"['PG', 'G', 'UTIL']",36.34653091430660
Khris Middleton,8700,MIL,"['SG', 'SF', 'F', 'G', 'UTIL']",40.46598815917970
Fred VanVleet,8700,TOR,"['PG', 'SG', 'G', 'UTIL']",35.52888870239260
Zach LaVine,8500,CHI,"['SG', 'G', 'UTIL']",33.19840621948240
Nikola Vucevic,8400,CHI,"['C', 'UTIL']",30.96478271484380
Jimmy Butler,8400,MIA,"['SF', 'PF', 'F', 'UTIL']",40.41181182861330
Bam Adebayo,8300,MIA,"['C', 'UTIL']",33.39250564575200
Scottie Barnes,8100,TOR,"['SF', 'PF', 'F', 'UTIL']",27.12160873413090
Buddy Hield,7900,IND,"['SG', 'SF', 'F', 'G', 'UTIL']",28.27662849426270
Desmond Bane,7800,MEM,"['SG', 'G', 'UTIL']",25.634634017944300
Jaren Jackson Jr.,7400,MEM,"['PF', 'C', 'F', 'UTIL']",26.930435180664100
Bobby Portis,7400,MIL,"['PF', 'C', 'F', 'UTIL']",23.41360855102540
Tyler Herro,7300,MIA,"['PG', 'SG', 'G', 'UTIL']",34.11437225341800
Kyle Lowry,6800,MIA,"['PG', 'G', 'UTIL']",28.13398742675780
Steven Adams,6600,MEM,"['C', 'UTIL']",21.933298110961900
Drew Eubanks,6600,POR,"['C', 'UTIL']",25.039588928222700
Kevin Love,6500,CLE,"['PF', 'C', 'F', 'UTIL']",21.978565216064500
Lauri Markkanen,6400,CLE,"['SF', 'PF', 'F', 'UTIL']",23.625320434570300
Bruce Brown,6400,BKN,"['SF', 'F', 'UTIL']",28.26919937133790
Gary Trent Jr.,6300,TOR,"['SG', 'SF', 'F', 'G', 'UTIL']",25.82757568359380
Kevin Porter Jr.,6200,HOU,"['PG', 'G', 'UTIL']",40.30601501464840
Davion Mitchell,6000,SAC,"['PG', 'SG', 'G', 'UTIL']",37.69477844238280
Harrison Barnes,6000,SAC,"['SF', 'PF', 'F', 'UTIL']",23.81681632995610
Victor Oladipo,5900,MIA,"['PG', 'SG', 'G', 'UTIL']",23.310630798339800
Seth Curry,5900,BKN,"['SG', 'SF', 'F', 'G', 'UTIL']",22.11343002319340
Aleksej Pokusevski,5800,OKC,"['SF', 'PF', 'F', 'UTIL']",31.34694099426270
Andre Drummond,5800,BKN,"['C', 'UTIL']",24.77360725402830
Trey Lyles,5800,SAC,"['PF', 'C', 'F', 'UTIL']",23.13988876342770
Isaiah Jackson,5800,IND,"['PF', 'C', 'F', 'UTIL']",22.807830810546900
Jalen Green,5800,HOU,"['PG', 'SG', 'G', 'UTIL']",30.845598220825200
Mo Bamba,5700,ORL,"['C', 'UTIL']",21.82624053955080
Malachi Flynn,5700,TOR,"['PG', 'G', 'UTIL']",15.150651931762700
Oshae Brissett,5700,IND,"['SF', 'PF', 'F', 'UTIL']",23.009992599487300
Caris LeVert,5600,CLE,"['PG', 'SG', 'G', 'UTIL']",25.05052947998050
Jalen Smith,5600,IND,"['PF', 'C', 'F', 'UTIL']",23.61834144592290
Alperen Sengun,5500,HOU,"['PF', 'C', 'F', 'UTIL']",22.46156883239750
Aaron Gordon,5400,DEN,"['SF', 'PF', 'F', 'UTIL']",26.5347843170166
Donte DiVincenzo,5400,SAC,"['SG', 'SF', 'F', 'G', 'UTIL']",23.27782249450680
Will Barton,5300,DEN,"['SG', 'G', 'UTIL']",25.33603286743160
De'Anthony Melton,5300,MEM,"['PG', 'SG', 'G', 'UTIL']",22.229782104492200
Chris Boucher,5200,TOR,"['PF', 'F', 'UTIL']",22.10658264160160
Coby White,5100,CHI,"['PG', 'SG', 'G', 'UTIL']",21.393186569213900
Tyus Jones,5100,MEM,"['PG', 'G', 'UTIL']",25.997594833374000
Isaiah Roby,5000,OKC,"['PF', 'C', 'F', 'UTIL']",24.251054763793900
Chuma Okeke,4800,ORL,"['SF', 'PF', 'F', 'UTIL']",18.77322006225590
Precious Achiuwa,4800,TOR,"['C', 'UTIL']",21.46207427978520
Brook Lopez,4700,MIL,"['C', 'UTIL']",20.90968894958500
Kyle Anderson,4700,MEM,"['SF', 'PF', 'F', 'UTIL']",20.21162796020510
Jalen Suggs,4700,ORL,"['PG', 'SG', 'G', 'UTIL']",31.4561710357666
CJ Elleby,4700,POR,"['SG', 'SF', 'F', 'G', 'UTIL']",21.48603057861330
Ayo Dosunmu,4600,CHI,"['PG', 'G', 'UTIL']",21.21877098083500
Monte Morris,4600,DEN,"['PG', 'G', 'UTIL']",24.56104850769040
Brandon Clarke,4600,MEM,"['PF', 'C', 'F', 'UTIL']",20.97402000427250
Nicolas Claxton,4600,BKN,"['C', 'UTIL']",22.01059341430660
Kris Dunn,4600,POR,"['PG', 'G', 'UTIL']",31.09034919738770
Pat Connaughton,4500,MIL,"['SF', 'PF', 'F', 'UTIL']",14.822782516479500
LaMarcus Aldridge,4500,BKN,"['PF', 'C', 'F', 'UTIL']",20.109567642211900
Damian Jones,4400,SAC,"['C', 'UTIL']",24.74625015258790
Moritz Wagner,4400,ORL,"['PF', 'C', 'F', 'UTIL']",20.488826751709000
Markelle Fultz,4300,ORL,"['PG', 'G', 'UTIL']",29.766584396362300
R.J. Hampton,4200,ORL,"['PG', 'SG', 'G', 'UTIL']",21.575454711914100
Jae'Sean Tate,4200,HOU,"['PF', 'F', 'UTIL']",21.67611694335940
Isaac Okoro,4100,CLE,"['SG', 'SF', 'F', 'G', 'UTIL']",20.471067428588900
Aaron Wiggins,4100,OKC,"['SF', 'F', 'UTIL']",24.13869857788090
Jevon Carter,4100,MIL,"['PG', 'SG', 'G', 'UTIL']",13.878183364868200
Max Strus,4100,MIA,"['SG', 'SF', 'F', 'G', 'UTIL']",20.06081962585450
T.J. McConnell,4100,IND,"['PG', 'G', 'UTIL']",21.23220634460450
Terry Taylor,4100,IND,"['PF', 'C', 'F', 'UTIL']",21.711645126342800
Rajon Rondo,4000,CLE,"['PG', 'G', 'UTIL']",19.246082305908200
Chimezie Metu,4000,SAC,"['PF', 'F', 'UTIL']",20.50469207763670
Ben McLemore,4000,POR,"['SG', 'G', 'UTIL']",21.451587677002000
Lamar Stevens,3900,CLE,"['SG', 'SF', 'F', 'G', 'UTIL']",22.71578788757320
Caleb Martin,3900,MIA,"['SF', 'F', 'UTIL']",19.07539176940920
Justin Holiday,3900,SAC,"['SG', 'G', 'UTIL']",14.99880027771000
Cedi Osman,3800,CLE,"['SG', 'SF', 'F', 'G', 'UTIL']",14.125978469848600
Theo Maledon,3800,OKC,"['PG', 'G', 'UTIL']",24.36155891418460
Keon Johnson,3800,POR,"['SG', 'SF', 'F', 'G', 'UTIL']",22.11757469177250
John Konchar,3700,MEM,"['SG', 'SF', 'F', 'G', 'UTIL']",12.955032348632800
Duncan Robinson,3700,MIA,"['SG', 'G', 'UTIL']",14.84209442138670
Vit Krejci,3600,OKC,"['PG', 'SG', 'G', 'UTIL']",21.685068130493200
Serge Ibaka,3600,MIL,"['PF', 'C', 'F', 'UTIL']",14.96051788330080
Jeremy Lamb,3600,SAC,"['SF', 'F', 'UTIL']",15.136812210083000
Javonte Green,3500,CHI,"['SF', 'F', 'UTIL']",15.00531005859380
JaMychal Green,3500,DEN,"['PF', 'C', 'F', 'UTIL']",14.529023170471200
Ziaire Williams,3500,MEM,"['SF', 'F', 'UTIL']",15.93779754638670
Patty Mills,3500,BKN,"['PG', 'SG', 'G', 'UTIL']",15.550300598144500
Khem Birch,3500,TOR,"['C', 'UTIL']",13.76921844482420
KJ Martin,3500,HOU,"['PF', 'C', 'F', 'UTIL']",17.0172061920166
Gabe Vincent,3400,MIA,"['PG', 'G', 'UTIL']",13.265350341796900
