Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
C,Nikola Jokic (21833099) (LOCKED),Nikola Jokic,21833099,C/UTIL,12000,Final,DEN,61.33
SF/PF,Giannis Antetokounmpo (21833101) (LOCKED),Giannis Antetokounmpo,21833101,SF/PF/F/UTIL,11800,Final,MIL,58.29
SF/PF,Kevin Durant (21833105) (LOCKED),Kevin Durant,21833105,SF/PF/F/UTIL,11600,Final,BKN,51.98
PG/SG,Kyrie Irving (21833109) (LOCKED),Kyrie Irving,21833109,PG/SG/G/UTIL,10900,Final,BKN,45.19
PG,Darius Garland (21833113) (LOCKED),Darius Garland,21833113,PG/G/UTIL,10200,Final,CLE,41.64
PG,Ja Morant (21833116) (LOCKED),Ja Morant,21833116,PG/G/UTIL,10100,Final,MEM,47.27
PG,Shai Gilgeous-Alexander (21833119) (LOCKED),Shai Gilgeous-Alexander,21833119,PG/G/UTIL,10000,Final,OKC,43.37
C,Domantas Sabonis (21833122) (LOCKED),Domantas Sabonis,21833122,C/UTIL,9900,Final,SAC,44.73
PG/SG,Tyrese Haliburton (21833124) (LOCKED),Tyrese Haliburton,21833124,PG/SG/G/UTIL,9800,Final,IND,37.53
PG,De'Aaron Fox (21833128) (LOCKED),De'Aaron Fox,21833128,PG/G/UTIL,9300,Final,SAC,38.94
PF/C,Pascal Siakam (21833131) (LOCKED),Pascal Siakam,21833131,PF/C/F/UTIL,9200,Final,TOR,44.11
PF,DeMar DeRozan (21833135) (LOCKED),DeMar DeRozan,21833135,PF/F/UTIL,8900,Final,CHI,43.80
PG,Jrue Holiday (21833141) (LOCKED),Jrue Holiday,21833141,PG/G/UTIL,8800,Final,MIL,38.52
PG,Damian Lillard (21833138) (LOCKED),Damian Lillard,21833138,PG/G/UTIL,8800,Final,POR,42.60
SG/SF,Khris Middleton (21833144) (LOCKED),Khris Middleton,21833144,SG/SF/F/G/UTIL,8700,Final,MIL,37.70
PG/SG,Fred VanVleet (21833149) (LOCKED),Fred VanVleet,21833149,PG/SG/G/UTIL,8700,Final,TOR,41.38
C,Jusuf Nurkic (21833153) (LOCKED),Jusuf Nurkic,21833153,C/UTIL,8600,Final,POR,36.15
SG,Zach LaVine (21833159) (LOCKED),Zach LaVine,21833159,SG/G/UTIL,8500,Final,CHI,39.29
PF/C,Wendell Carter Jr. (21833155) (LOCKED),Wendell Carter Jr.,21833155,PF/C/F/UTIL,8500,Final,ORL,35.18
C,Christian Wood (21833162) (LOCKED),Christian Wood,21833162,C/UTIL,8500,Final,HOU,38.21
C,Nikola Vucevic (21833168) (LOCKED),Nikola Vucevic,21833168,C/UTIL,8400,Final,CHI,41.69
SF/PF,Jimmy Butler (21833164) (LOCKED),Jimmy Butler,21833164,SF/PF/F/UTIL,8400,Final,MIA,41.03
C,Bam Adebayo (21833170) (LOCKED),Bam Adebayo,21833170,C/UTIL,8300,Final,MIA,40.56
PF/C,Evan Mobley (21833179) (LOCKED),Evan Mobley,21833179,PF/C/F/UTIL,8100,Final,CLE,33.53
SF/PF,Scottie Barnes (21833175) (LOCKED),Scottie Barnes,21833175,SF/PF/F/UTIL,8100,Final,TOR,33.60
SG,Josh Hart (21833172) (LOCKED),Josh Hart,21833172,SG/G/UTIL,8100,Final,POR,32.84
PG,Ben Simmons (21833183) (LOCKED),Ben Simmons,21833183,PG/G/UTIL,8000,Final,BKN,0
PG,Anfernee Simons (21833186) (LOCKED),Anfernee Simons,21833186,PG/G/UTIL,8000,Final,POR,28.34
SG/SF,Buddy Hield (21833189) (LOCKED),Buddy Hield,21833189,SG/SF/F/G/UTIL,7900,Final,IND,28.11
PG/SG,Josh Giddey (21833194) (LOCKED),Josh Giddey,21833194,PG/SG/G/UTIL,7800,Final,OKC,34.04
SG,Desmond Bane (21833201) (LOCKED),Desmond Bane,21833201,SG/G/UTIL,7800,Final,MEM,31.80
PG,John Wall (21833198) (LOCKED),John Wall,21833198,PG/G/UTIL,7800,Final,HOU,0
C,Jarrett Allen (21833204) (LOCKED),Jarrett Allen,21833204,C/UTIL,7600,Final,CLE,36.32
PG,Malcolm Brogdon (21833206) (LOCKED),Malcolm Brogdon,21833206,PG/G/UTIL,7500,Final,IND,36.85
PF/C,Jaren Jackson Jr. (21833209) (LOCKED),Jaren Jackson Jr.,21833209,PF/C/F/UTIL,7400,Final,MEM,31.74
PF/C,Bobby Portis (21833213) (LOCKED),Bobby Portis,21833213,PF/C/F/UTIL,7400,Final,MIL,31.64
PG/SG,Tyler Herro (21833217) (LOCKED),Tyler Herro,21833217,PG/SG/G/UTIL,7300,Final,MIA,34.30
PF/C,Trendon Watford (21833221) (LOCKED),Trendon Watford,21833221,PF/C/F/UTIL,7200,Final,POR,17.20
PG,Cole Anthony (21833225) (LOCKED),Cole Anthony,21833225,PG/G/UTIL,7100,Final,ORL,33.4
PG,Brandon Williams (21833228) (LOCKED),Brandon Williams,21833228,PG/G/UTIL,7000,Final,POR,25.94
PG,Kyle Lowry (21833231) (LOCKED),Kyle Lowry,21833231,PG/G/UTIL,6800,Final,MIA,33.28
C,Steven Adams (21833234) (LOCKED),Steven Adams,21833234,C/UTIL,6600,Final,MEM,27.34
C,Drew Eubanks (21833236) (LOCKED),Drew Eubanks,21833236,C/UTIL,6600,Final,POR,17.35
PF/C,Kevin Love (21833238) (LOCKED),Kevin Love,21833238,PF/C/F/UTIL,6500,Final,CLE,27.52
PG,Lonzo Ball (21833242) (LOCKED),Lonzo Ball,21833242,PG/G/UTIL,6400,Final,CHI,33.46
